trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.6, 'e': 0.1556726303679973}",20,0,-10.748700733502842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.6, 'e': 0.1541236618151314}",25,11,25.02249524582579,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.6, 'e': 0.15259010575688386}",20,12,0.16248204639856412,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.6, 'e': 0.15107180883637084}",20,13,11.439166600803235,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.6, 'e': 0.14956861922263504}",30,23,1.2359505222416984,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.6, 'e': 0.14808038659546244}",20,7,-9.183744129314972,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
192,False,"{'a': 0.6, 'e': 0.14660696213035015}",35,15,29.10177641254644,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.6, 'e': 0.14514819848362373}",20,12,14.866210180028737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.6, 'e': 0.14370394977770293}",25,12,22.213094499994234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.6, 'e': 0.1422740715865136}",20,13,13.013534827184447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.6, 'e': 0.140858420921045}",25,16,6.380743333224764,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.6, 'e': 0.13945685621505094}",25,11,-17.832252280404987,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
198,False,"{'a': 0.6, 'e': 0.13806923731089282}",20,5,-13.59177830233876,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
199,False,"{'a': 0.6, 'e': 0.13669542544552385}",20,3,2.6738341134373833,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.6, 'e': 0.1353352832366127}",35,18,5.202991354923193,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.6, 'e': 0.13398867466880493}",25,17,16.889841759320653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.6, 'e': 0.13265546508012172}",20,7,-26.32352445623831,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.6, 'e': 0.13133552114849303}",20,6,-1.2755509783128423,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.6, 'e': 0.1300287108784259}",25,13,9.01427779515529,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.6, 'e': 0.12873490358780423}",25,10,19.435067972151383,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.6, 'e': 0.12745396989482075}",25,14,7.455035759011825,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.6, 'e': 0.12618578170503877}",20,13,11.91519777013587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.6, 'e': 0.12493021219858241}",20,13,15.280559381458396,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.6, 'e': 0.12368713581745483}",30,14,25.395181005521895,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.6, 'e': 0.1224564282529819}",25,17,16.538764613979342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.6, 'e': 0.12123796643338168}",20,16,6.497299340294955,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.6, 'e': 0.12003162851145673}",25,18,13.392303399668751,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.6, 'e': 0.11883729385240965}",25,13,19.75997783555009,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
